sample_name,expected_critical,tier,tier_name,total_time_seconds,masking_ratio,k_lower
"RAT-73 (difficulty=1, Chatbot conversation)",True,3,TIER_3_LOCAL,17.786009,0.0,0.0
"RAT-6 (difficulty=1, Meeting transcript)",True,2,TIER_2_CLOUD_MASKED,13.953561,0.0,0.0
"RAT-50 (difficulty=3, Medical consultation)",True,2,TIER_2_CLOUD_MASKED,10.572782,0.0,0.0
"RAT-75 (difficulty=3, Medical consultation)",True,3,TIER_3_LOCAL,10.218832,0.0,0.0
"RAT-44 (difficulty=2, Chatbot conversation)",True,2,TIER_2_CLOUD_MASKED,10.165582,0.0,0.0
"RAT-31 (difficulty=3, Medical consultation)",True,3,TIER_3_LOCAL,9.732566,0.0,0.0
"RAT-25 (difficulty=2, Chatbot conversation)",True,2,TIER_2_CLOUD_MASKED,9.677544,0.0,0.0
"RAT-36 (difficulty=3, Medical consultation)",True,3,TIER_3_LOCAL,9.4959,0.0,0.0
"RAT-67 (difficulty=3, Medical consultation)",True,3,TIER_3_LOCAL,9.267109,0.0,0.0
"RAT-38 (difficulty=3, Medical consultation)",True,3,TIER_3_LOCAL,9.229734,0.0,0.0
"RAT-27 (difficulty=3, Meeting transcript)",True,3,TIER_3_LOCAL,9.133242,0.0,0.0
"RAT-0 (difficulty=3, Medical consultation)",True,3,TIER_3_LOCAL,9.113104,0.0,0.0
"RAT-63 (difficulty=3, Medical consultation)",True,3,TIER_3_LOCAL,9.081951,0.0,0.0
"RAT-88 (difficulty=3, Chatbot conversation)",True,3,TIER_3_LOCAL,9.036018,0.0,0.0
"RAT-7 (difficulty=1, Meeting transcript)",True,2,TIER_2_CLOUD_MASKED,8.9536,0.000363,0.0
"RAT-72 (difficulty=1, Meeting transcript)",True,2,TIER_2_CLOUD_MASKED,8.913496,0.0,0.0
"RAT-25 (difficulty=3, Meeting transcript)",True,2,TIER_2_CLOUD_MASKED,8.870216,0.0,0.0
"RAT-69 (difficulty=3, Medical consultation)",True,3,TIER_3_LOCAL,8.543209,0.0,0.0
"RAT-59 (difficulty=3, Meeting transcript)",True,3,TIER_3_LOCAL,8.528596,0.0,0.0
"RAT-98 (difficulty=3, Chatbot conversation)",True,2,TIER_2_CLOUD_MASKED,8.406544,0.0,0.0
